datetime,open,high,low,close,volume,interest
2021-10-08 00:00:00,17.702,18.3,17.308,17.952,13045259.797807,0
2021-10-09 00:00:00,17.952,18.089,17.588,17.804,8421224.470706,0
2021-10-10 00:00:00,17.805,17.939,17.077,17.593,10519039.919475,0
2021-10-11 00:00:00,17.595,18.1,15.249,16.411,15370520.56241,0
2021-10-12 00:00:00,16.413,16.536,15.6,15.771,9184958.510811,0
2021-10-13 00:00:00,15.768,17.142,14.369,15.802,19366351.524721,0
2021-10-14 00:00:00,15.801,16.425,15.626,16.302,7522417.809217,0
2021-10-15 00:00:00,16.309,16.82,15.956,16.368,8155018.548266,0
2021-10-16 00:00:00,16.367,16.869,15.403,16.195,8256327.047323,0
2021-10-17 00:00:00,16.194,16.322,15.894,16.175,3858004.26196,0
2021-10-18 00:00:00,16.176,16.504,15.8,16.368,5839677.797568,0
2021-10-19 00:00:00,16.368,19.568,16.17,19.135,19363646.569005,0
2021-10-20 00:00:00,19.135,24.529,19.064,23.6,31462241.155206,0
2021-10-21 00:00:00,23.599,26.45,22.326,23.084,31013412.787374,0
2021-10-22 00:00:00,23.084,28,23.047,27.422,38799844.764798,0
2021-10-23 00:00:00,27.429,29.095,26.46,27.507,33274939.54969,0
2021-10-24 00:00:00,27.507,28.01,25.021,25.181,21957646.019547,0
2021-10-25 00:00:00,25.181,27.5,25.15,26.005,20389867.874141,0
2021-10-26 00:00:00,26.006,26.399,24,24.694,17483653.188753,0
2021-10-27 00:00:00,24.697,25.5,21.065,22.56,25487627.600536,0
2021-10-28 00:00:00,22.56,24.476,21.35,22.774,21466807.982729,0
2021-10-29 00:00:00,22.769,23.458,21.585,22.027,19334269.558024,0
2021-10-30 00:00:00,22.032,22.163,20.511,20.818,9773055.189435,0
2021-10-31 00:00:00,20.818,21.588,20.181,20.445,13248846.592576,0
2021-11-01 00:00:00,20.447,22,20.225,21.52,13639189.575931,0
2021-11-02 00:00:00,21.521,22.987,21.521,22.691,12607864.521573,0
2021-11-03 00:00:00,22.691,22.732,21.3,21.913,6389884.017813,0
2021-11-04 00:00:00,21.919,23.388,21.466,21.635,6743566.732383,0
2021-11-05 00:00:00,21.632,24.444,21.37,23.598,10403421.159225,0
2021-11-06 00:00:00,23.596,25.5,23.403,25.058,14278105.68327,0
2021-11-07 00:00:00,25.06,30,24.744,28.476,16795652.603385,0
2021-11-08 00:00:00,28.473,32.215,27.066,30.151,18119918.361069,0
2021-11-09 00:00:00,30.146,32.4,28.881,29.317,21833313.50057,0
2021-11-10 00:00:00,29.316,31,29,29.706,16523223.64569,0
2021-11-11 00:00:00,29.708,30.1,27.301,28.606,18311112.065515,0
2021-11-12 00:00:00,28.606,29.059,26.002,26.386,15787472.407925,0
2021-11-13 00:00:00,26.385,27.88,25.2,27.494,16913336.873704,0
2021-11-14 00:00:00,27.494,27.728,26.5,26.709,11935605.601076,0
2021-11-15 00:00:00,26.704,27.52,26.5,26.874,10196432.635817,0
2021-11-16 00:00:00,26.876,27.157,23.5,25.283,15787389.471195,0
2021-11-17 00:00:00,25.286,26.37,23.733,25.64,18618958.720984,0
2021-11-18 00:00:00,25.641,26.477,24.111,24.291,14076920.420088,0
2021-11-19 00:00:00,24.286,25.133,23.333,24.693,14962951.121117,0
2021-11-20 00:00:00,24.685,25.369,24.24,24.333,9314220.063944,0
2021-11-21 00:00:00,24.326,25.665,23.562,24.97,10443950.978384,0
2021-11-22 00:00:00,24.97,25.465,23.41,24.154,10545307.686257,0
2021-11-23 00:00:00,24.154,24.481,23.4,24.436,8848254.561397,0
2021-11-24 00:00:00,24.44,24.53,23.261,23.632,8402699.99797,0
2021-11-25 00:00:00,23.63,26.282,23.25,26.03,11558372.297165,0
2021-11-26 00:00:00,26.034,28.093,23.238,23.75,18949472.890472,0
2021-11-27 00:00:00,23.747,24.276,22.9,23.339,13478167.340888,0
